ID	GO_ID	Expression_profile	T30
PTET.51.1.G0170001		Intermediate peak	2,951381311
PTET.51.1.G0170002		none	57,29833322
PTET.51.1.G0170003		Late repression	38,30543227
PTET.51.1.G0170004		none	152,8923734
PTET.51.1.G0170005	GO:0006468	Late induction	132,3581003
PTET.51.1.G0170006	GO:0006468	Late induction	19,94221601
PTET.51.1.G0170007	GO:0006468	none	145,0577763
PTET.51.1.G0170008		none	52,4262163
PTET.51.1.G0170009		none	69,82369351
PTET.51.1.G0170010		Early repression	92,69164797
PTET.51.1.G0170011		Late repression	2419,148349
PTET.51.1.G0170012		Early peak	173,2111065
PTET.51.1.G0170013		none	10,64322869
PTET.51.1.G0170014		none	19,91755336
PTET.51.1.G0170015		Late induction	981,4716413
PTET.51.1.G0170016		none	469,4504645
PTET.51.1.G0170017	GO:0046488	none	47,14563462
PTET.51.1.G0170018		none	175,7264992
PTET.51.1.G0170019		Early repression	88,81442506
PTET.51.1.G0170020		none	68,57082734
PTET.51.1.G0170021	GO:0006413	none	376,0995201
PTET.51.1.G0170022		none	136,3538166
PTET.51.1.G0170023		none	69,21071615
PTET.51.1.G0170024	GO:0046488	none	71,49537275
PTET.51.1.G0170025		none	119,5013588
PTET.51.1.G0170026		none	8,63093979
PTET.51.1.G0170027	GO:0006468	Late induction	90,40341371
PTET.51.1.G0170028	GO:0006468	none	10,03715594
PTET.51.1.G0170029		none	0
PTET.51.1.G0170030		none	0
PTET.51.1.G0170031		none	0
PTET.51.1.G0170032		none	80,00094772
PTET.51.1.G0170033		none	111,6670177
PTET.51.1.G0170034	GO:0055114	Early repression	7505,198572
PTET.51.1.G0170035	GO:0006468	none	66,01852766
PTET.51.1.G0170036		none	252,4421623
PTET.51.1.G0170037		none	30,81770694
PTET.51.1.G0170038		none	148,3239139
PTET.51.1.G0170039		none	14,03748456
PTET.51.1.G0170040		Early repression	469,8270385
PTET.51.1.G0170041		none	111,479076
PTET.51.1.G0170042	GO:0006508	Intermediate peak	91,6774489
PTET.51.1.G0170043		none	5534,950498
PTET.51.1.G0170044		none	331,5715331
PTET.51.1.G0170045		none	4162,786452
PTET.51.1.G0170046		Early repression	152,7295747
PTET.51.1.G0170047		Late repression	33,9501495
PTET.51.1.G0170048	GO:0055085	none	1011,086757
