ID	Note	GO_ID	GO_description	P-value	Significant	Expression_profile	VEG	MEI	FRG	DEV1	DEV2/3	DEV4	V1.2	VK1	S1.1	S1.2	T0.1	T0.2	T3	T5.1	T5.2	T11.1	T11.2	T20.1	T20.2	T20.3	T30
PTET.51.1.G0170001	proprotein convertase subtilisin/kexin type 5			0,000328169	YES	Intermediate peak	0	5,772408373	11,95831201	3,563670334	4,072125215	3,496210399	0	0	6,21753644	5,327280307	7,657849724	3,327116831	24,88996948	3,820051753	3,307288916	3,788851137	0	4,851179552	7,648470172	4,041039487	2,951381311
PTET.51.1.G0170002				1,67E-001	NO	none	52,98123557	49,25923438	59,40417666	42,45942036	78,01264053	64,25657179	58,5969688	47,36550234	50,29487852	48,22359025	58,68554849	63,43944569	56,08753579	27,59031432	57,3285264	95,23008845	86,46171191	74,91682832	55,44193344	71,21481035	57,29833322
PTET.51.1.G0170003				6,56E-011	YES	Late repression	189,9883771	206,381186	157,6359176	142,9549288	40,2722335	35,0139775	184,4412656	195,5354886	209,5499543	203,2124176	182,6646439	146,9582128	143,2848961	139,9428295	145,9670281	24,45520882	31,32490747	66,00913792	39,29967977	31,72252273	38,30543227
PTET.51.1.G0170004				0,055857406	NO	none	159,3661597	114,6999216	112,2789332	124,2587224	148,6240229	135,2431086	155,8492519	162,8830676	118,7854014	110,6144417	122,2664624	116,1825194	98,38781775	128,387825	120,1296198	142,8413701	130,829666	170,6841181	150,1409374	117,5938439	152,8923734
PTET.51.1.G0170005	calcium-dependent kinase 2	GO:0006468	protein phosphorylation	0,000927191	YES	Late induction	61,50505983	86,99971681	79,95493651	84,298833	144,925457	107,4580958	60,21027687	62,79984278	102,0320758	71,96735785	86,3583602	83,55670022	69,94974911	77,40883218	91,18883381	100,0612917	102,3427302	183,2750757	194,0227305	82,55809134	132,3581003
PTET.51.1.G0170006	calcium-dependent kinase 4	GO:0006468	protein phosphorylation	0,002826394	YES	Late induction	4,557710378	6,463281565	4,27437164	29,88271035	30,70551985	23,09848182	1,869189767	7,246230988	12,92656313	0	4,189748703	3,458619517	5,174746701	39,71037453	20,05504616	27,89844251	39,65101915	26,3607186	28,91189914	26,25474764	19,94221601
PTET.51.1.G0170007	calcium/calmodulin-dependent kinase type 1b	GO:0006468	protein phosphorylation	0,014786926	NO	none	345,4727923	229,7073873	126,2868317	311,1558135	456,4707473	160,5033408	366,2428912	324,7026933	252,3611468	207,0536279	167,754356	94,28459482	116,8215444	390,4455554	231,8660716	399,8388992	163,6965492	702,014807	560,3327338	175,9489054	145,0577763
PTET.51.1.G0170008				0,130133156	NO	none	89,01551027	111,4698842	103,3897358	89,97579814	119,5822151	51,1374557	74,52785736	103,5031632	123,1873694	99,75239887	156,0381345	130,324206	23,8068669	101,4949948	78,45660147	113,6088	73,50172645	173,2496447	117,9686894	49,84869511	52,4262163
PTET.51.1.G0170009				5,17E-002	NO	none	98,9252629	50,85542557	48,08492707	51,07661094	89,55009022	57,99056381	104,6615838	93,18894203	46,69660218	55,01424896	50,32477411	59,34697767	34,58302942	47,81728764	54,33593424	53,94791179	63,35502347	135,8017799	105,0956457	46,15743412	69,82369351
PTET.51.1.G0170010				0,00015196	YES	Early repression	141,6995895	66,58168141	93,76314011	86,97142679	88,64523052	103,1013947	132,4173382	150,9818407	75,47040149	57,69296134	89,20686792	99,08730759	92,9952448	78,43080713	95,51204646	85,48375436	90,16322109	74,92481607	104,0091306	113,5111415	92,69164797
